"SequenceFeature.primaryIdentifier","SequenceFeature.featureType","SequenceFeature.secondaryIdentifier","SequenceFeature.symbol","SequenceFeature.description","SequenceFeature.sgdAlias","SequenceFeature.qualifier"
"S000003188","ORF","YGL220W","BOL2","Cytosolic protein involved in repression of iron regulon transcription; forms an iron-independent complex with Fra1p, Grx3p, and Grx4p; null mutant fails to repress the iron regulon and is sensitive to nickel; sequence similarity to human BOLA family member, BOLA2","AIM15|FRA2","Verified"
"S000003189","ORF","YGL221C","NIF3","Protein of unknown function; similar to Listeria monocytogenes major sigma factor (rpoD gene product); the authentic, non-tagged protein is detected in highly purified mitochondria in high-throughput studies","hypothetical protein","Verified"
"S000003190","ORF","YGL222C","EDC1","RNA-binding protein that activates mRNA decapping directly; binds to mRNA substrate and enhances activity of decapping proteins Dcp1p and Dcp2p; has a role in translation during heat stress; protein becomes more abundant and forms cytoplasmic foci in response to DNA replication stress; EDC1 has a paralog, EDC2, that arose from the whole genome duplication","","Verified"
"S000003191","ORF","YGL223C","COG1","Essential component of the conserved oligomeric Golgi complex; a cytosolic tethering complex (Cog1p through Cog8p) that functions in protein trafficking to mediate fusion of transport vesicles to Golgi compartments","COD3|Golgi transport complex subunit COG1|LDB11|SEC36","Verified"
"S000003192","ORF","YGL224C","SDT1","Pyrimidine nucleotidase; responsible for production of nicotinamide riboside and nicotinic acid riboside; overexpression suppresses the 6-AU sensitivity of transcription elongation factor S-II, as well as resistance to other pyrimidine derivatives; SDT1 has a paralog, PHM8, that arose from the whole genome duplication","nucleotidase|SSM1","Verified"
"S000003193","ORF","YGL225W","VRG4","Golgi GDP-mannose transporter; regulates Golgi function and glycosylation in Golgi; VRG4 has a paralog, HVG1, that arose from the whole genome duplication","GDP-mannose transporter|GOG5|LDB3|VAN2|VIG4","Verified"
"S000003194","ORF","YGL226C-A","OST5","Zeta subunit of the oligosaccharyltransferase complex of the ER lumen; complex catalyzes asparagine-linked glycosylation of newly synthesized proteins","dolichyl-diphosphooligosaccharide--protein glycotransferase subunit","Verified"
"S000003195","ORF","YGL226W","MTC3","Protein of unknown function; green fluorescent protein (GFP)-fusion protein localizes to the mitochondrion; mtc3 is synthetically sick with cdc13-1","","Verified"
"S000003196","ORF","YGL227W","VID30","Central component of GID Complex, involved in FBPase degradation; interacts strongly with Gid8p to serve as a scaffold for other GID Complex subunits; contains SPRY domain and 3 domains that are also found in Gid8p - LisH, CTLH, and CRA; required for association of Vid vesicles and actin patches in vacuole import and degradation pathway; shifts the balance of nitrogen metabolism toward glutamate production; localizes to the nucleus and the cytoplasm","GID1|glucose-induced degradation complex subunit VID30","Verified"
"S000003197","ORF","YGL228W","SHE10","Protein involved in outer spore wall assembly; likely involved directly in dityrosine layer assembly; putative GPI-anchored protein; overexpression causes growth arrest;; SWAT-GFP, seamless-GFP and mCherry fusion proteins localize to the endoplasmic reticulum; SHE10 has a paralog, OSW7/YFR039C, that arose from the whole genome duplication; paralogs are redundant for spore wall dityrosine assembly","","Verified"
"S000003198","ORF","YGL229C","SAP4","Protein required for function of the Sit4p protein phosphatase; member of a family of similar proteins that form complexes with Sit4p, including Sap155p, Sap185p, and Sap190p; SAP4 has a paralog, SAP155, that arose from the whole genome duplication","","Verified"
"S000003199","ORF","YGL230C","","Putative protein of unknown function; non-essential gene","","Uncharacterized"
"S000003200","ORF","YGL231C","EMC4","Member of conserved ER transmembrane complex; required for efficient folding of proteins in the ER; null mutant displays induction of the unfolded protein response; homologous to worm ZK616.6/EMC-4 and fly CG11137; mutation is functionally complemented by human EMC4","chaperone EMC4","Verified"
"S000003201","ORF","YGL232W","TAN1","Putative tRNA acetyltransferase; RNA-binding protein required for the formation of the modified nucleoside N(4)-acetylcytidine in serine and leucine tRNAs but not required for the same modification in 18S rRNA; protein abundance increases in response to DNA replication stress","putative tRNA acetyltransferase","Verified"
"S000003202","ORF","YGL233W","SEC15","Essential 113 kDa subunit of the exocyst complex; the exocyst mediates polarized targeting and tethering of post-Golgi secretory vesicles to active sites of exocytosis prior to SNARE-mediated fusion; interacts with and functions as a downstream effector of active, GTP-bound Sec4p, a Rab family GTPase","Rab GTPase-binding exocyst subunit SEC15","Verified"
"S000003203","ORF","YGL234W","ADE5,7","Enzyme of the 'de novo' purine nucleotide biosynthetic pathway; contains aminoimidazole ribotide synthetase and glycinamide ribotide synthetase activities","bifunctional aminoimidazole ribotide synthase/glycinamide ribotide synthase","Verified"
"S000003204","ORF","YGL235W","","Putative protein of unknown function; potential Cdc28p substrate; null mutant displays increased resistance to antifungal agents gliotoxin, cycloheximide and H2O2","","Uncharacterized"
"S000003205","ORF","YGL236C","MTO1","Mitochondrial protein; forms heterodimer complex with Mss1p that performs 5-carboxymethylaminomethyl modification of the wobble uridine base in mitochondrial tRNAs; required for respiration in paromomycin-resistant 15S rRNA mutants; human homolog MTO1 can complement yeast null mutant","IPS1|tRNA modification protein MTO1","Verified"
"S000003206","ORF","YGL237C","HAP2","Subunit of the Hap2p/3p/4p/5p CCAAT-binding complex; complex is heme-activated and glucose-repressed; complex is a transcriptional activator and global regulator of respiratory gene expression; contains sequences sufficient for both complex assembly and DNA binding; respiratory defect of the null mutant is functionally complemented by human NFYA","transcription activator HAP2","Verified"
"S000003207","ORF","YGL238W","CSE1","Nuclear envelope protein that acts as a recycling factor; mediates the nuclear export of Srp1p (importin alpha) back to the cytoplasm after its import substrates have been released into the nucleoplasm, thereby allowing the participation of Srp1p in multiple rounds of nuclear import; required for accurate chromosome segregation; homolog of metazoan CAS and human CSE1L, overexpression of which is implicated in cancer progression","importin-alpha export receptor|KAP109","Verified"
"S000003208","ORF","YGL239C","","Dubious open reading frame; unlikely to encode a functional protein, based on available experimental and comparative sequence data; partially overlaps verified gene CSE1","","Dubious"
"S000003209","ORF","YGL240W","DOC1","Processivity factor; required for the ubiquitination activity of the anaphase promoting complex (APC), mediates the activity of the APC by contributing to substrate recognition; involved in cyclin proteolysis; contains a conserved DOC1 homology domain","anaphase promoting complex subunit DOC1|APC10","Verified"
"S000003210","ORF","YGL241W","KAP114","Karyopherin, responsible for nuclear import of specific proteins; cargoes include Spt15p, Sua7p, histones H2A and H2B, and Nap1p; amino terminus shows similarity to those of other importins, particularly Cse1p; localization is primarily nuclear; function is regulated by sumoylation; protein abundance increases in response to DNA replication stress","","Verified"
"S000003211","ORF","YGL242C","","Protein of unknown function; N-terminally propionylated in vivo; deletion mutant is viable","","Verified"
"S000003212","ORF","YGL243W","TAD1","tRNA-specific adenosine deaminase; deaminates adenosine-37 to inosine in tRNA-Ala","tRNA-specific adenosine deaminase","Verified"
"S000003213","ORF","YGL244W","RTF1","Subunit of RNAPII-associated chromatin remodeling Paf1 complex; regulates gene expression by directing cotranscriptional histone modification, influences transcription and chromatin structure through several independent functional domains; directly or indirectly regulates DNA-binding properties of Spt15p and relative activities of different TATA elements; involved in transcription elongation as demonstrated by the G-less-based run-on (GLRO) assay","CSL3","Verified"
"S000003214","ORF","YGL245W","GUS1","Glutamyl-tRNA synthetase (GluRS); forms a complex with methionyl-tRNA synthetase (Mes1p) and Arc1p; complex formation increases the catalytic efficiency of both tRNA synthetases and ensures their correct localization to the cytoplasm; protein abundance increases in response to DNA replication stress","GluRS|glutamate--tRNA ligase GUS1|GSN1","Verified"
"S000003215","ORF","YGL246C","RAI1","Nuclear decapping endonuclease; targets mRNAs with unmethylated 7-methylguanosine cap structures and 5'-triphosphates; binds to and stabilizes the exoribonuclease Rat1p; required for pre-rRNA processing; involved in an early step of decapping nicotinamide adenine dinucleotide (NAD) capped nuclear NAD-RNAs; relocalizes to the cytosol in response to hypoxia; homologous to human DOM3Z","decapping nuclease","Verified"
"S000003216","ORF","YGL247W","BRR6","Essential nuclear envelope integral membrane protein; interacts and functions with Apq12p and Brl1p in lipid homeostasis; mutants are defective in nuclear pore complex biogenesis, nuclear envelope morphology, mRNA nuclear export, and are sensitive to sterol biosynthesis inhibitors and membrane fluidizing agents; exhibits synthetic lethal genetic interactions with genes involved in lipid metabolism; homologous to Brl1p","","Verified"
"S000003217","ORF","YGL248W","PDE1","Low-affinity cyclic AMP phosphodiesterase; controls glucose and intracellular acidification-induced cAMP signaling, target of the cAMP-protein kinase A (PKA) pathway; glucose induces transcription and inhibits translation","3',5'-cyclic-nucleotide phosphodiesterase PDE1","Verified"
"S000003218","ORF","YGL249W","ZIP2","Meiosis-specific protein; involved in normal synaptonemal complex formation and pairing between homologous chromosomes during meiosis; relocalizes from mitochondrion to cytoplasm upon DNA replication stress","","Verified"
"S000003219","ORF","YGL250W","RMR1","Protein required for meiotic recombination and gene conversion; null mutant displays reduced PIS1 expression and growth defects on non-fermentable carbon sources and minimal media; GFP-fusion protein localizes to both cytoplasm and nucleus","","Verified"
"S000003220","ORF","YGL251C","HFM1","Meiosis specific DNA helicase; involved in the conversion of double-stranded breaks to later recombination intermediates and in crossover control; catalyzes the unwinding of Holliday junctions; has ssDNA and dsDNA stimulated ATPase activity","DNA helicase|MER3","Verified"
"S000003221","ORF","YGL252C","RTG2","Sensor of mitochondrial dysfunction; regulates the subcellular location of Rtg1p and Rtg3p, transcriptional activators of the retrograde (RTG) and TOR pathways; Rtg2p is inhibited by the phosphorylated form of Mks1p","","Verified"
"S000003222","ORF","YGL253W","HXK2","Hexokinase isoenzyme 2; phosphorylates glucose in cytosol; predominant hexokinase during growth on glucose; represses expression of HXK1, GLK1, induces expression of its own gene; antiapoptotic; phosphorylation/dephosphorylation at Ser14 by kinase Snf1p, phosphatase Glc7p-Reg1p regulates nucleocytoplasmic shuttling of Hxk2p; functions downstream of Sit4p in control of cell cycle, mitochondrial function, oxidative stress resistance, chronological lifespan; has paralog HXK1","HEX1|hexokinase 2|HKB|SCI2","Verified"
